Date,Open,High,Low,Close,Volume
15/03/2018,2754.27,2763.03,2741.47,2747.33,3500.33
16/03/2018,2750.57,2761.85,2749.97,2752.01,5372.34
19/03/2018,2741.38,2741.38,2694.59,2712.92,3302.13
20/03/2018,2715.05,2724.22,2710.05,2716.94,3261.03
21/03/2018,2714.99,2739.14,2709.79,2711.93,3415.51
22/03/2018,2691.36,2695.68,2641.59,2643.69,3739.80
23/03/2018,2646.71,2657.67,2585.89,2588.26,3815.08
26/03/2018,2619.35,2661.36,2601.81,2658.55,3511.10
27/03/2018,2667.57,2674.78,2596.12,2612.62,3706.35
28/03/2018,2611.30,2632.65,2593.06,2605.00,3864.50
29/03/2018,2614.41,2659.07,2609.72,2640.87,3565.99
02/04/2018,2633.45,2638.30,2553.80,2581.88,3598.52
03/04/2018,2592.17,2619.14,2575.49,2614.45,3392.81
04/04/2018,2584.04,2649.86,2573.61,2644.69,3350.34
05/04/2018,2657.36,2672.08,2649.58,2662.84,3178.97
06/04/2018,2645.82,2656.88,2586.27,2604.47,3299.70
09/04/2018,2617.18,2653.55,2610.79,2613.16,3062.96
10/04/2018,2638.41,2665.45,2635.78,2656.87,3543.93
11/04/2018,2643.89,2661.43,2639.25,2642.19,3020.76
12/04/2018,2653.83,2674.72,2653.83,2663.99,3021.32
13/04/2018,2676.90,2680.26,2645.05,2656.30,2960.91
16/04/2018,2670.10,2686.49,2665.16,2677.84,3019.70
17/04/2018,2692.74,2713.34,2692.05,2706.39,3234.36
18/04/2018,2710.11,2717.49,2703.63,2708.64,3383.41
19/04/2018,2701.16,2702.84,2681.90,2693.13,3349.37
20/04/2018,2692.56,2693.94,2660.61,2670.14,3388.59
23/04/2018,2675.40,2682.86,2657.99,2670.29,3017.48
24/04/2018,2680.80,2683.55,2617.32,2634.56,3706.74
25/04/2018,2634.92,2645.30,2612.67,2639.40,3499.44
26/04/2018,2651.65,2676.48,2647.16,2666.94,3665.72
27/04/2018,2675.47,2677.35,2659.01,2669.91,3219.03
30/04/2018,2682.51,2682.87,2648.04,2648.05,3734.53
01/05/2018,2642.96,2655.27,2625.41,2654.80,3559.85
02/05/2018,2654.24,2660.87,2631.70,2635.67,4010.77
03/05/2018,2628.08,2637.14,2594.62,2629.73,3851.47
04/05/2018,2621.45,2670.93,2615.32,2663.42,3327.22
07/05/2018,2680.34,2683.35,2664.70,2672.63,3237.96
08/05/2018,2670.26,2676.34,2655.20,2671.92,3717.57
09/05/2018,2678.12,2701.27,2674.14,2697.79,3909.50
10/05/2018,2705.02,2726.11,2704.54,2723.07,3333.05
11/05/2018,2722.70,2732.86,2717.45,2727.72,2862.70
14/05/2018,2738.47,2742.10,2725.47,2730.13,2972.66
15/05/2018,2718.59,2718.59,2701.91,2711.45,3290.68
16/05/2018,2712.62,2727.76,2712.17,2722.46,3202.67
17/05/2018,2719.71,2731.96,2711.36,2720.13,3475.40
18/05/2018,2717.35,2719.50,2709.18,2712.97,3368.69
21/05/2018,2735.39,2739.19,2725.70,2733.01,3019.89
22/05/2018,2738.34,2742.24,2721.88,2724.44,3366.31
23/05/2018,2713.98,2733.33,2709.54,2733.29,3326.29
24/05/2018,2730.94,2731.97,2707.38,2727.76,3256.03
25/05/2018,2723.60,2727.36,2714.99,2721.33,2995.26
29/05/2018,2705.11,2710.67,2676.81,2689.86,3736.89
30/05/2018,2702.43,2729.34,2702.43,2724.01,3561.05
31/05/2018,2720.98,2722.50,2700.68,2705.27,4235.37
01/06/2018,2718.70,2736.93,2718.70,2734.62,3684.13
04/06/2018,2741.67,2749.16,2740.54,2746.87,3376.51
05/06/2018,2748.46,2752.61,2739.51,2748.80,3517.79
06/06/2018,2753.25,2772.39,2748.46,2772.35,3651.64
07/06/2018,2774.84,2779.90,2760.16,2770.37,3711.33
08/06/2018,2765.84,2779.39,2763.59,2779.03,3123.21
11/06/2018,2780.18,2790.21,2780.17,2782.00,3232.33
12/06/2018,2785.60,2789.80,2778.78,2786.85,3401.01
13/06/2018,2787.94,2791.47,2774.65,2775.63,3779.23
14/06/2018,2783.21,2789.06,2776.52,2782.49,3526.89
15/06/2018,2777.78,2782.81,2761.73,2779.66,5428.79
18/06/2018,2765.79,2774.99,2757.12,2773.75,3287.15
19/06/2018,2752.01,2765.05,2743.19,2762.59,3661.47
20/06/2018,2769.73,2774.86,2763.91,2767.32,3327.60
21/06/2018,2769.28,2769.28,2744.39,2749.76,3300.06
22/06/2018,2760.79,2764.17,2752.68,2754.88,5450.55
25/06/2018,2742.94,2742.94,2698.67,2717.07,3655.08
26/06/2018,2722.12,2732.91,2715.60,2723.06,3555.09
27/06/2018,2728.45,2746.09,2699.38,2699.63,3776.09
28/06/2018,2698.69,2724.34,2691.99,2716.31,3428.14
29/06/2018,2727.13,2743.26,2718.03,2718.37,3565.62
02/07/2018,2704.95,2727.26,2698.95,2726.71,3073.65
03/07/2018,2733.27,2736.58,2711.16,2713.22,1911.47
05/07/2018,2724.19,2737.83,2716.02,2736.61,2953.42
